date	flow	temp	selmaprotbas_nn	selmaprotbas_po	selmaprotbas_ddp	selmaprotbas_pw
2015-01-01 00:00:00	0.2415	3.73847	89.044313304721	0.2118669527897	0.0296759656652361	0.0890278969957082
2015-01-02 00:00:00	0.2345	3.84716	88.7243681885125	0.210351988217968	0.0288630338733432	0.0865891016200294
2015-01-03 00:00:00	0.2191	3.7717	88.6815545023697	0.21142654028436	0.0282535545023697	0.0847606635071091
2015-01-04 00:00:00	0.21245	3.75483	88.2984755700326	0.209628664495114	0.0276217426710098	0.0828652280130293
2015-01-05 00:00:00	0.1974	3.63643	88.1942802101576	0.211042031523643	0.026757880910683	0.080273642732049
2015-01-06 00:00:00	0.1827	3.31397	88.0988166351607	0.212321361058601	0.0261275992438563	0.078382797731569
2015-01-07 00:00:00	0.17465	3.36458	88.4634782608696	0.215652173913044	0.0260543478260869	0.0781630434782608
2015-01-08 00:00:00	0.16905	3.84103	88.0016	0.213681632653061	0.025345918367347	0.0760377551020409
2015-01-09 00:00:00	0.32375	4.0559	89.0107310565635	0.203447171824973	0.0320538954108858	0.0961616862326574
2015-01-10 00:00:00	0.6685	3.9006	88.7840776799586	0.19923096841015	0.0443776540652511	0.133132962195753
2015-01-11 00:00:00	0.9667	3.40424	87.3172024364027	0.198158366176998	0.053076316732354	0.159228950197062
2015-01-12 00:00:00	0.79205	3.47393	88.2312019230769	0.199826923076923	0.0483557692307692	0.145067307692308
2015-01-13 00:00:00	0.61985	3.81541	89.047875	0.2015	0.0437265625	0.1311796875
2015-01-14 00:00:00	0.51625	3.62723	89.4445170797053	0.202259879437374	0.0401202277294039	0.120360683188212
2015-01-15 00:00:00	0.4536	3.65711	89.5865458015267	0.202984732824427	0.0377213740458015	0.113164122137405
2015-01-16 00:00:00	0.3941	3.79508	89.6106078947368	0.203089473684211	0.0353447368421053	0.106034210526316
2015-01-17 00:00:00	0.3948	3.5351	89.6156868421053	0.202581578947368	0.0353447368421053	0.106034210526316
2015-01-18 00:00:00	0.38255	3.23723	89.8123393665158	0.204309502262443	0.0350377828054299	0.10511334841629
2015-01-19 00:00:00	0.38255	3.25678	89.816007239819	0.203785520361991	0.0350377828054299	0.10511334841629
2015-01-20 00:00:00	0.3556	3.25826	89.7891420233463	0.203380350194553	0.0339644941634241	0.101893482490272
2015-01-21 00:00:00	0.3122	3.09396	89.3028539823009	0.202181415929204	0.0314424778761062	0.0943274336283186
2015-01-22 00:00:00	0.29435	3.05011	89.2939576470588	0.202284705882353	0.0307241176470588	0.0921723529411765
2015-01-23 00:00:00	0.27615	3.08781	89.281	0.203	0.03	0.09
2015-01-24 00:00:00	0.2415	3.00449	89.23430472103	0.205227467811159	0.0285268240343348	0.0855804721030043
2015-01-25 00:00:00	0.2345	3.23615	88.8906347569956	0.20340353460972	0.0278703976435935	0.0836111929307806
2015-01-26 00:00:00	0.2191	3.45362	88.8317630331754	0.203890995260663	0.0273744075829384	0.0821232227488152
2015-01-27 00:00:00	0.2037	3.5136	88.7371001697793	0.205283531409168	0.0264885398981324	0.0794656196943973
2015-01-28 00:00:00	0.1974	3.65133	88.3050070052539	0.203168126094571	0.0258966725043783	0.0776900175131349
2015-01-29 00:00:00	0.19565	3.58703	88.3005779334501	0.202676007005254	0.0258966725043783	0.0776900175131349
2015-01-30 00:00:00	0.20195	3.42815	88.7228862478778	0.203760611205433	0.0263616298811545	0.0790848896434635
2015-01-31 00:00:00	0.19565	3.25999	88.2887670753065	0.20169176882662	0.025773642732049	0.0773209281961471
2015-02-01 00:00:00	0.182	3.11722	88.1746729678639	0.202340264650284	0.0252542533081285	0.0757627599243856
2015-02-02 00:00:00	0.16835	3.19442	88.0451265306122	0.203559183673469	0.0245867346938776	0.0737602040816327
2015-02-03 00:00:00	0.15505	3.2449	87.8816991150442	0.204336283185841	0.0240221238938053	0.072066371681416
2015-02-04 00:00:00	0.1372	2.97462	87.1043890274314	0.203680798004988	0.0229588528678304	0.0688765586034913
2015-02-05 00:00:00	0.1372	2.59432	87.0943142144638	0.203177057356608	0.0228329177057357	0.068498753117207
2015-02-06 00:00:00	0.1253	2.40651	86.858204359673	0.204256130790191	0.0224625340599455	0.0673876021798365
2015-02-07 00:00:00	0.1204	2.42651	86.1472209631728	0.201682719546742	0.0219794617563739	0.0659383852691218
2015-02-08 00:00:00	0.11865	2.71522	87.2748505747126	0.207402298850575	0.0224367816091954	0.0673103448275862
2015-02-09 00:00:00	0.11375	3.24898	86.5418562874251	0.204898203592814	0.0217949101796407	0.0653847305389222
2015-02-10 00:00:00	0.11375	3.76447	86.5277904191617	0.20385628742515	0.0219251497005988	0.0657754491017964
2015-02-11 00:00:00	0.10745	4.03968	86.9814873417722	0.207867088607595	0.0218022151898734	0.0654066455696203
2015-02-12 00:00:00	0.1029	3.93905	86.213603960396	0.20536303630363	0.0211856435643564	0.0635569306930693
2015-02-13 00:00:00	0.1029	3.74066	86.196600660066	0.204300330033003	0.0213184818481848	0.0639554455445545
2015-02-14 00:00:00	0.1029	3.69396	86.1790660066007	0.20376897689769	0.0213184818481848	0.0639554455445545
2015-02-15 00:00:00	0.1029	3.64416	86.161	0.203237623762376	0.0213184818481848	0.0639554455445545
2015-02-16 00:00:00	0.09275	3.68307	85.8595583941606	0.20514598540146	0.0207381386861314	0.0622144160583942
2015-02-17 00:00:00	0.09275	3.75957	85.8394379562044	0.204602189781022	0.0207381386861314	0.0622144160583942
2015-02-18 00:00:00	0.09345	3.836	85.8187737226277	0.203514598540146	0.0208740875912409	0.0626222627737227
